   254    684
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
 0.000  0.000  0.000
